Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,7.71,7.89,7.85,7.72,7.77,7.64,7.56,7.42,7.17,6.84,6.67,6.42,6.24,6.17,6.02,5.99,6.01,5.95,5.91,5.96
Albania,5.23,4.74,4.82,4.94,4.86,7.68,7.83,8.05,8.09,7.96,7.63,7.63,4.82,4.84,4.52,4.23,4.17,4.11,3.94,3.72
Algeria,4.68,4.58,4.43,4.12,3.97,3.82,3.65,3.46,3.31,3.15,3.0,2.94,2.89,2.85,2.78,2.72,2.61,2.54,2.58,2.6
Angola,17.56,17.46,17.24,17.47,17.19,16.26,17.06,15.02,15.27,13.65,14.21,13.49,14.16,14.16,13.14,13.27,12.87,12.36,12.35,12.55
Antigua and Barbuda,2.01,1.88,1.25,1.44,1.95,1.32,0.44,0.33,0.25,0.0,0.13,0.16,0.0,0.0,0.44,0.42,0.49,0.0,0.32,0.32
Argentina,9.2,10.31,10.28,9.66,8.68,8.54,8.53,8.17,8.59,8.35,8.43,8.42,8.96,8.45,9.16,8.1,8.06,8.69,8.99,8.14
Armenia,3.28,3.07,3.1,2.49,3.64,3.81,5.36,5.02,4.23,4.06,5.86,5.74,6.39,5.31,4.63,4.7,4.43,2.43,1.65,2.66
Australia,11.85,11.19,10.38,9.61,9.21,10.07,9.53,9.82,10.45,10.01,10.41,10.06,10.48,10.24,11.31,11.81,10.92,11.79,11.26,11.25
Austria,15.82,14.69,15.11,14.25,13.63,13.28,12.49,12.16,11.67,11.89,12.21,12.28,11.78,11.45,12.04,11.39,11.13,10.77,11.19,10.4
Azerbaijan,3.42,3.72,3.88,4.04,4.5,4.69,4.85,5.0,4.79,4.64,4.53,4.44,4.31,4.19,4.1,3.99,3.92,3.91,3.92,3.97
Bahamas,2.53,2.73,2.44,2.51,3.34,3.15,3.57,3.32,3.4,3.39,3.66,3.77,3.58,3.17,3.28,3.42,3.49,3.28,3.4,3.37
Bahrain,7.04,8.9,9.19,9.93,9.78,9.62,7.83,8.72,8.28,7.65,7.16,6.88,6.44,6.15,6.37,6.32,6.48,6.73,7.04,7.2
Bangladesh,6.87,6.45,6.1,5.81,5.56,5.57,5.6,5.48,5.25,5.06,4.82,4.34,4.0,3.8,3.73,3.64,3.6,3.68,3.75,3.85
Barbados,2.6,1.52,0.29,0.8,0.96,2.17,1.33,1.26,0.72,1.13,1.22,0.64,0.21,0.097,0.32,0.31,0.33,0.32,0.31,0.31
Belarus,37.26,38.33,38.72,37.09,36.05,37.25,34.76,30.91,30.58,30.41,29.89,30.16,24.63,22.82,21.59,19.55,19.4,18.46,17.94,16.49
Belgium,18.3,18.45,17.12,17.89,16.67,16.74,16.58,15.08,16.58,16.71,16.52,16.71,16.42,15.38,15.13,14.41,15.02,14.59,14.32,13.93
Belize,10.01,8.19,8.09,8.17,8.84,7.09,7.19,6.69,5.7,7.48,8.18,7.92,7.35,6.83,6.89,6.87,6.67,7.71,7.16,7.65
Benin,14.72,14.83,14.86,14.81,14.85,14.69,14.57,14.34,13.97,14.24,14.14,14.14,13.94,13.84,13.65,13.38,13.27,13.11,12.97,12.71
Bhutan,6.91,6.82,6.46,6.35,6.12,5.99,5.85,5.67,5.52,5.38,5.24,5.21,5.22,5.2,5.19,5.16,5.05,5.14,5.11,5.07
Bolivia (Plurinational State of),8.37,8.05,7.93,7.72,7.53,7.41,7.0,7.17,7.01,6.99,7.0,7.05,6.9,6.87,7.04,7.2,7.43,7.17,6.97,6.82
Bosnia and Herzegovina,8.13,8.35,8.53,8.45,8.4,8.95,8.77,9.36,8.72,8.54,8.3,8.35,8.11,8.23,8.2,8.33,8.13,8.07,8.18,8.25
Botswana,46.25,44.68,42.19,40.34,40.94,43.43,40.94,37.45,36.06,32.13,31.2,29.09,28.99,27.75,25.35,24.55,22.9,22.32,22.06,20.22
Brazil,4.47,4.88,4.77,4.69,4.73,4.96,4.9,5.05,5.22,5.19,5.0,5.19,5.29,5.41,5.4,5.6,5.67,6.19,6.51,6.41
Brunei Darussalam,1.72,1.29,1.5,1.57,1.78,1.94,2.43,2.21,1.81,1.58,1.14,1.66,2.18,1.82,1.7,1.63,2.38,3.25,3.04,2.54
Bulgaria,14.05,13.16,12.97,11.18,10.52,9.56,9.46,8.57,9.19,8.51,8.45,7.9,8.75,7.35,7.13,6.77,6.57,6.65,6.6,6.5
Burkina Faso,16.93,16.38,15.91,15.78,15.82,15.87,15.94,15.89,15.69,15.7,15.82,15.65,16.11,16.09,15.66,15.44,15.16,14.85,14.68,14.38
Burundi,23.43,21.64,20.51,19.38,18.55,17.94,17.53,16.48,15.66,15.22,14.92,14.51,14.09,13.75,13.14,12.75,12.61,12.46,12.31,12.12
Cabo Verde,18.18,18.03,18.13,18.11,18.28,18.49,18.16,18.15,18.3,18.44,18.44,18.21,17.98,17.46,16.91,16.73,16.53,16.16,15.96,15.23
