,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,0.43040392,0.42974985,0.4291691,0.42820337,0.42736357,0.42672995,0.4259845,0.42536953,0.42486215,0.42443573,0.42418516,0.42367983,0.4226884,0.42150557,0.42034206,0.41959864,0.41963246,0.42012078,0.42092696,0.42211115
1,Albania,1.631093,1.6307946,1.6305351,1.6303222,1.6301717,1.6300764,1.6301233,1.6303473,1.6306016,1.6307964,1.6308877,1.6297424,1.6263725,1.6209062,1.6135558,1.6045718,1.5799607,1.5603809,1.5950288,1.6799603
2,Algeria,0.41887206,0.41827884,0.41720113,0.4159163,0.41474622,0.41398272,0.41364548,0.41347417,0.4133278,0.41307727,0.41257325,0.4110979,0.4085359,0.40564236,0.40317008,0.40186828,0.40225214,0.40342456,0.4060217,0.41057315
3,Angola,1.1773597,1.1709557,1.1631734,1.1546899,1.1460156,1.1378155,1.1288459,1.1184527,1.1080846,1.0991203,1.0929872,1.0888832,1.0850441,1.0813093,1.0775021,1.0735179,1.0601075,1.048465,1.0560993,1.0782173
4,Antigua and Barbuda,1.9127954,1.9074279,1.8912134,1.8723572,1.8590599,1.8596536,1.8794081,1.9125432,1.9511882,1.9879566,2.0148585,2.0340548,2.0517275,2.0655136,2.0730083,2.0718067,2.0179667,1.9630017,1.9546466,1.9582773
5,Argentina,2.3923554,2.3815956,2.3616402,2.3369539,2.3120356,2.2912316,2.262244,2.2176468,2.1691864,2.1286504,2.1077383,2.1016202,2.0972338,2.0940092,2.0913963,2.088836,2.0715473,2.057399,2.075138,2.11697
6,Armenia,2.4240444,2.387964,2.3099723,2.2165387,2.1352677,2.093136,2.0821865,2.0752492,2.0698323,2.0644732,2.0571597,2.0303628,1.9790214,1.9192247,1.8679731,1.8421017,1.8456857,1.8669629,1.9176413,2.002777
7,Australia,1.8269508,1.8101232,1.7686559,1.7190344,1.6776454,1.6609633,1.6675178,1.6821632,1.7007147,1.7189533,1.7327838,1.7510723,1.780038,1.8115503,1.8374707,1.8496633,1.8460473,1.8412865,1.8460915,1.8580836
8,Austria,2.8226256,2.8346364,2.8453739,2.8542318,2.8610346,2.8650577,2.8664405,2.8663592,2.8645227,2.8607821,2.8547702,2.8182697,2.741659,2.6518333,2.5759943,2.5411646,2.5372884,2.5342817,2.5276937,2.5172591
9,Azerbaijan,2.4576335,2.4533224,2.4383569,2.4193258,2.4030716,2.3966308,2.410268,2.4421554,2.4809902,2.5149453,2.5329416,2.5224955,2.4896817,2.4486287,2.4140747,2.4010885,2.415792,2.4516141,2.5167665,2.6156657
10,Bahamas,1.8563206,1.8574734,1.8528771,1.8466899,1.8429288,1.8454424,1.8639517,1.8986653,1.9390302,1.9745504,1.9945823,2.002848,2.0096078,2.0139704,2.0150118,2.0116115,1.9570563,1.9002837,1.8857491,1.8767873
11,Bahrain,0.53498954,0.53262615,0.5289406,0.5251695,0.5221085,0.5203915,0.51943964,0.518357,0.517378,0.5164476,0.51520735,0.5109327,0.503053,0.49434438,0.4871114,0.48323262,0.48194632,0.480959,0.47965723,0.47831112
12,Bangladesh,1.1151069,1.1146584,1.1133413,1.1116024,1.1098934,1.1086665,1.1097615,1.1133082,1.1173315,1.1199023,1.1190298,1.1106286,1.0952694,1.0777526,1.0628132,1.0552906,1.0601336,1.0722501,1.0935899,1.1272818
13,Barbados,1.3438675,1.3400841,1.32936,1.3161836,1.3050972,1.3006734,1.307036,1.3218226,1.3396926,1.3552852,1.363133,1.3620152,1.3559936,1.3473681,1.3384674,1.3316121,1.3027868,1.2758362,1.2715286,1.2684659
14,Belarus,2.8659277,2.864181,2.8549159,2.840065,2.8224282,2.804028,2.7804716,2.750517,2.7181523,2.6889112,2.6685765,2.6641042,2.6753843,2.6928184,2.7081184,2.7131953,2.6752937,2.6365762,2.6109776,2.5581026
15,Belgium,2.516923,2.5020664,2.4600694,2.4066324,2.357816,2.3294184,2.3157673,2.3019352,2.2893221,2.2797,2.2747192,2.2720568,2.2688785,2.2658873,2.2639484,2.263953,2.2771635,2.2909086,2.2927136,2.2901504
16,Belize,1.5171742,1.5155321,1.5102017,1.5036556,1.4983448,1.4967725,1.5052851,1.5243897,1.5478508,1.569495,1.5831672,1.5928497,1.6046009,1.6153957,1.6221647,1.6217765,1.5786228,1.5338911,1.5255036,1.5267289
17,Benin,0.54975325,0.5498806,0.54923534,0.54818517,0.54699594,0.5461046,0.54523385,0.54397535,0.5426301,0.54150695,0.5409156,0.5411605,0.5419147,0.54276764,0.5433606,0.5432388,0.5397176,0.5366849,0.53977245,0.5476388
18,Bhutan,2.3283381,2.3551779,2.4027655,2.456217,2.5007572,2.5226758,2.52888,2.5350177,2.5407023,2.5449173,2.547038,2.5448098,2.5374599,2.5278273,2.519036,2.5138414,2.5416355,2.5677505,2.4894638,2.3125536
19,Bosnia and Herzegovina,2.3112533,2.2872937,2.26099,2.2326808,2.2024667,2.1716871,2.1336234,2.0852947,2.035578,1.9944409,1.9711555,1.9629701,1.9591471,1.9569658,1.953734,1.9468005,1.9231843,1.9045576,1.9310404,1.9974179
20,Botswana,2.0876508,2.0788386,2.066336,2.052057,2.0379012,2.0258534,2.013192,1.9986452,1.9845014,1.9723641,1.9642,1.9586375,1.9525374,1.945515,1.9373595,1.9276286,1.8735799,1.8260216,1.8579694,1.9468565
21,Brazil,3.1034436,3.1006982,3.0836818,3.0600727,3.0375264,3.0237,3.016206,3.0085108,3.0021167,2.998501,2.9991095,3.0130823,3.0416296,3.0744555,3.1013806,3.1123698,3.1064644,3.090198,3.0010955,2.8260937
22,Bulgaria,1.917156,1.8920254,1.8620771,1.8323036,1.8076615,1.7931216,1.7855653,1.7787825,1.7732121,1.7692161,1.7671607,1.7663174,1.7654219,1.7641233,1.7620795,1.7589803,1.7382358,1.7198807,1.7496496,1.8221841
23,Burkina Faso,0.5424139,0.5422246,0.54147536,0.5404231,0.5394273,0.53886753,0.5385503,0.53834647,0.53824973,0.5382846,0.5384954,0.53927094,0.54069996,0.54231375,0.54363877,0.54418856,0.5417864,0.5396083,0.54466933,0.5562826
24,Burundi,1.5187597,1.5082111,1.4957267,1.4826995,1.4703274,1.459853,1.4502922,1.4408228,1.4322578,1.4238981,1.4170972,1.4122453,1.407847,1.4029373,1.3975304,1.393038,1.3849001,1.379233,1.3892498,1.4132348
25,Cambodia,0.7216176,0.7206176,0.71902364,0.7175166,0.7167506,0.7173926,0.7200735,0.7243648,0.7293402,0.73408175,0.7376371,0.74033684,0.7430251,0.7454895,0.74753535,0.7489584,0.74621445,0.743999,0.7511428,0.7661702
26,Cameroon,0.57235926,0.5728512,0.57287145,0.5725197,0.5719353,0.5712701,0.5700011,0.5678789,0.5654031,0.5631307,0.5616216,0.56072676,0.5598568,0.55886817,0.5577002,0.55625564,0.5510862,0.54685026,0.55145025,0.5632925
27,Canada,1.7678754,1.7717918,1.7758769,1.7799156,1.7836975,1.7869945,1.7849562,1.7759404,1.76459,1.7555383,1.7533764,1.7553295,1.7561088,1.7567099,1.7581502,1.7613814,1.7891487,1.8168929,1.809836,1.782449
28,Central African Republic,1.2287534,1.2223651,1.2117159,1.199139,1.1870075,1.1775018,1.1697882,1.1618742,1.1542411,1.1472709,1.1412568,1.1350037,1.1270987,1.1179808,1.1091132,1.1014662,1.0861458,1.0737122,1.0826763,1.1088394
29,Chad,0.4838478,0.48479512,0.48557112,0.48617834,0.4865956,0.4869344,0.48739204,0.4881552,0.48900574,0.48965445,0.4899741,0.48968846,0.48892635,0.48792982,0.48691016,0.48619983,0.48427206,0.48297822,0.48732522,0.49691206
30,Chile,3.0400531,3.052817,3.0638313,3.0719802,3.076033,3.0747876,3.033661,2.9409223,2.8296816,2.7329443,2.683794,2.6710587,2.6610672,2.653185,2.6466937,2.6410954,2.631239,2.624561,2.628463,2.6380215
31,China,1.2076615,1.1751608,1.1393375,1.1055824,1.0791696,1.0652109,1.06384,1.0697262,1.0795159,1.0898753,1.0974188,1.1012107,1.1037139,1.1064966,1.111148,1.1191858,1.13386,1.1535007,1.1751071,1.1998028
32,Colombia,2.1996472,2.19696,2.1916316,2.1851356,2.1787174,2.1729593,2.159443,2.134275,2.1053398,2.0805008,2.0680027,2.0649846,2.0625443,2.0600712,2.0570693,2.053087,2.0307827,2.0127506,2.0411048,2.1095247
33,Comoros,1.2795036,1.2775859,1.2753427,1.2728045,1.2700282,1.2670532,1.2630591,1.257267,1.2510821,1.2456214,1.2421181,1.2401795,1.2383319,1.2368777,1.2358569,1.2353035,1.2329026,1.2318308,1.2426147,1.2652014
34,Congo,1.2864976,1.276662,1.2621305,1.2457134,1.2302561,1.2185775,1.2085856,1.1971368,1.185847,1.1762756,1.1699563,1.1659355,1.1619229,1.157777,1.153364,1.1484557,1.136867,1.1277856,1.1359677,1.1582999
35,Costa Rica,1.791264,1.7872958,1.7764938,1.7630979,1.7513192,1.7453812,1.7533512,1.7747241,1.800927,1.8234094,1.8335439,1.8335341,1.8317256,1.8286054,1.8246887,1.8204457,1.7762871,1.7340708,1.7535247,1.8142668
36,Croatia,2.1162915,2.108722,2.1069725,2.1085565,2.1111083,2.1121697,2.109336,2.1036837,2.0971086,2.091834,2.0902727,2.0982087,2.115339,2.1345613,2.148767,2.1507359,2.1124578,2.0752475,2.085518,2.1233315
37,Cuba,1.3853433,1.3888128,1.3887551,1.3876183,1.3878739,1.3920044,1.4088277,1.4392046,1.4734956,1.5020617,1.5153008,1.5161451,1.5144752,1.5110639,1.5067657,1.5024275,1.466371,1.4316766,1.4312469,1.4442638
38,Cyprus,1.6883389,1.6873698,1.6846973,1.6812478,1.6779603,1.6757182,1.6741961,1.6724787,1.6705948,1.6685433,1.66632,1.6603261,1.6490713,1.6358188,1.6239102,1.6166875,1.6103603,1.6070219,1.6243095,1.6624243
39,Czechia,2.1882133,2.1998284,2.2164297,2.2340677,2.2487276,2.2564592,2.255897,2.2501605,2.2419765,2.2341547,2.2295852,2.2290833,2.2305598,2.232572,2.233655,2.232327,2.210859,2.1916227,2.2086535,2.2526274
40,Denmark,2.8621795,2.8894322,2.916318,2.9394567,2.9546664,2.9584374,2.9474096,2.9248939,2.8972566,2.8702247,2.8500092,2.836136,2.8240175,2.8142526,2.806787,2.8018088,2.7884135,2.7755802,2.766275,2.751015
41,Djibouti,1.4621758,1.4579856,1.4504855,1.4404235,1.4294894,1.4194878,1.4106786,1.4008409,1.391007,1.3824358,1.375873,1.370694,1.3652169,1.3600237,1.3556151,1.3532225,1.3487418,1.3464344,1.3598723,1.3887908
42,Dominican Republic,1.39494,1.3905882,1.3787615,1.3639681,1.3509295,1.3444735,1.3479285,1.3585384,1.3718613,1.3833747,1.3886809,1.387137,1.3822104,1.3755779,1.3688905,1.3638645,1.328896,1.294325,1.291257,1.295859
43,Ecuador,1.1949146,1.1876832,1.1737285,1.1578194,1.1443912,1.1380763,1.138169,1.1399962,1.1421661,1.1432456,1.1418854,1.1355402,1.1240125,1.1094433,1.0938126,1.0792083,1.0476298,1.0118328,0.9857443,0.9565204
44,Egypt,0.38595363,0.38596842,0.3859223,0.38586718,0.3858755,0.386032,0.38680333,0.3882774,0.38996896,0.3914008,0.39209706,0.3912265,0.3889039,0.38606098,0.3836288,0.38254315,0.3833367,0.3849288,0.38856867,0.39495772
45,El Salvador,3.9409003,3.8934,3.821938,3.7437768,3.675989,3.636389,3.6278968,3.6360164,3.6523113,3.6677134,3.6739311,3.6691487,3.6572752,3.639696,3.6174057,3.591325,3.4902647,3.403123,3.4326622,3.5346274
46,Equatorial Guinea,1.1617522,1.1586629,1.1553165,1.1519104,1.1486018,1.1455295,1.1411968,1.1347426,1.1281115,1.1233622,1.1225679,1.1252886,1.1287968,1.1323818,1.1354151,1.1373543,1.1276146,1.1187563,1.1322658,1.1634514
47,Eritrea,1.8188342,1.8175931,1.8104914,1.7994041,1.7864226,1.7739136,1.7593945,1.7410519,1.7217715,1.7045099,1.6924458,1.684568,1.6777133,1.6715235,1.6656184,1.6596358,1.6498759,1.6422933,1.6451818,1.6562773
48,Estonia,2.1942978,2.1767726,2.1394014,2.092976,2.0487688,2.0176268,1.9902103,1.9549752,1.9187466,1.8888222,1.8723104,1.8675345,1.8675245,1.8700083,1.8727237,1.8735507,1.8618358,1.8404098,1.7964996,1.720889
