,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,4.6768804,4.675786,4.6720624,4.6718807,4.6727514,4.6736326,4.6780405,4.682732,4.6882634,4.695408,4.7019935,4.715658,4.73926,4.7667584,4.7931795,4.810425,4.8155184,4.8165836,4.8279138,4.8510346
1,Albania,3.7076585,3.7104988,3.7131746,3.7156527,3.71795,3.7197618,3.723458,3.730676,3.739848,3.7492957,3.7571402,3.7670379,3.7816541,3.7977457,3.811362,3.8181894,3.815188,3.8113596,3.8191874,3.837537
2,Algeria,4.635349,4.6371784,4.641473,4.6467543,4.6513524,4.6538324,4.654957,4.656343,4.6580873,4.6602135,4.66289,4.670081,4.6832047,4.698729,4.7131987,4.7231584,4.7306385,4.737448,4.750126,4.771976
3,Angola,3.9771934,3.9794695,3.9817166,3.9836502,3.9852574,3.9862888,3.9862351,3.9850318,3.9832327,3.9814882,3.98034,3.9788518,3.9761405,3.9730153,3.9702914,3.9686215,3.9672763,3.9651573,3.9547126,3.9340954
4,Antigua and Barbuda,4.289198,4.2890034,4.2859354,4.2814517,4.276987,4.273915,4.274823,4.280213,4.2877116,4.2944202,4.298032,4.3032956,4.313888,4.3260255,4.3359904,4.340038,4.3367453,4.332553,4.332167,4.3341727
5,Argentina,5.086851,5.088034,5.0897574,5.0913215,5.0919785,5.091139,5.068065,5.016023,4.9553494,4.90632,4.889307,4.8977876,4.910255,4.9245386,4.938433,4.949739,4.9635406,4.974968,4.979907,4.982973
6,Armenia,3.1459208,3.148805,3.1527412,3.1569946,3.1602669,3.161411,3.1602805,3.1577516,3.1548355,3.1520722,3.1500812,3.1495564,3.1500642,3.1511166,3.151906,3.151636,3.1497703,3.147962,3.1483963,3.1505976
7,Australia,5.175044,5.215392,5.3088007,5.4199347,5.5135145,5.5542226,5.5622044,5.5775933,5.595064,5.6093774,5.615126,5.6058693,5.584959,5.5615416,5.544875,5.5441628,5.6774898,5.812073,5.820752,5.8151646
8,Austria,5.758888,5.7634697,5.775257,5.7907057,5.8057036,5.8164845,5.830372,5.8527355,5.8776236,5.898953,5.9109216,5.9193397,5.9319053,5.945414,5.9566393,5.963028,5.983274,6.0037413,6.007505,6.006434
9,Azerbaijan,2.5461469,2.5466452,2.5477786,2.5490587,2.5498493,2.5493968,2.5477703,2.5455306,2.5428956,2.5401323,2.5371697,2.5329163,2.5264387,2.5189579,2.5114396,2.5048695,2.493198,2.482483,2.478925,2.4775383
10,Bahamas,4.2527018,4.251701,4.248108,4.243468,4.239442,4.237858,4.240962,4.2483,4.257724,4.266969,4.273925,4.282254,4.2949677,4.3089633,4.32119,4.3288636,4.3342676,4.3388643,4.343269,4.3490176
11,Bahrain,4.987824,4.991164,4.989611,4.9808435,4.9683924,4.955955,4.9480066,4.942917,4.9368787,4.9295187,4.9227433,4.9203353,4.9186063,4.9148717,4.909362,4.9055676,4.890652,4.8809757,4.9006104,4.937836
12,Bangladesh,2.9657207,3.0049136,3.089793,3.189578,3.2735722,3.3111982,3.2960405,3.2538967,3.2023761,3.1588376,3.1404343,3.1417556,3.1451762,3.1495976,3.1539223,3.1569495,3.158786,3.161234,3.168371,3.180923
13,Barbados,4.2392254,4.239129,4.2389526,4.2390532,4.2397285,4.241193,4.2451057,4.2519817,4.260247,4.2683372,4.2748394,4.2824874,4.2935057,4.3056684,4.3167458,4.3245325,4.329384,4.3313775,4.330795,4.328706
14,Belarus,3.5228255,3.5211408,3.51859,3.515903,3.5134351,3.5119147,3.5106103,3.508245,3.5057619,3.503633,3.5022795,3.5010548,3.4986424,3.4958112,3.4930503,3.490736,3.4861214,3.4813712,3.4809403,3.4831991
