,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,0.70025194,0.70012945,0.69977945,0.69960576,0.6995014,0.6994395,0.69952995,0.69952035,0.6994801,0.6994877,0.69943786,0.6993916,0.69936365,0.6993666,0.6994773,0.69959515,0.69961786,0.69962174,0.6996378,0.69964457
1,Albania,0.54245573,0.5425348,0.54258114,0.542598,0.5425958,0.5425783,0.5425454,0.54250324,0.54245985,0.5424172,0.5423738,0.54233027,0.5422916,0.5422711,0.5422515,0.54220194,0.54214597,0.54210234,0.54205716,0.5420085
2,Algeria,0.7563042,0.75629723,0.7562964,0.75630325,0.75631386,0.756327,0.75634027,0.7563523,0.7563621,0.75636744,0.7563697,0.75636977,0.7563669,0.75636077,0.75635153,0.75634015,0.75632703,0.7563117,0.7562944,0.7562755
3,Angola,0.5537959,0.55380994,0.5538232,0.5538352,0.55384696,0.55385756,0.5538673,0.55387586,0.55388284,0.5538885,0.553892,0.5538949,0.55389684,0.5538983,0.5538994,0.55389977,0.55390006,0.5539,0.5538997,0.5538995
4,Antigua and Barbuda,0.94823295,0.94833493,0.9483488,0.9482877,0.94816303,0.94798297,0.94775504,0.94749165,0.9472026,0.9468921,0.9465686,0.94624215,0.94592285,0.94561243,0.9453129,0.9450248,0.9447461,0.94447774,0.9442219,0.94397974
5,Argentina,0.9782553,0.98460674,0.9997332,1.0177805,1.0328883,1.0392022,1.0391719,1.0391463,1.0391239,1.0391033,1.0390866,1.0390756,1.039073,1.039076,1.0390805,1.0390844,1.0390866,1.0390891,1.039091,1.039092
6,Armenia,0.5419808,0.54200447,0.5420155,0.5420277,0.5420317,0.54202825,0.54201835,0.5420019,0.54198825,0.54196876,0.54194146,0.541904,0.5418589,0.5418133,0.5417644,0.5417096,0.541649,0.54158723,0.5415265,0.541465
7,Australia,1.1167352,1.1176239,1.1196815,1.1221255,1.1241834,1.1250675,1.1250802,1.125079,1.1250721,1.1250628,1.1250472,1.1250392,1.1250234,1.1250172,1.1250142,1.1250105,1.12502,1.1250321,1.125041,1.1250612
8,Austria,0.9017546,0.9017828,0.90180296,0.9018226,0.9018207,0.901803,0.90180916,0.90183544,0.90187377,0.9019008,0.9019149,0.9019011,0.9018285,0.90168726,0.90145504,0.9011552,0.90091336,0.9007627,0.90060717,0.90043485
9,Azerbaijan,0.5228504,0.52280486,0.52276087,0.52271444,0.5226743,0.5226407,0.5226044,0.52257186,0.52253693,0.52250874,0.5224798,0.52244824,0.52241665,0.522382,0.52234787,0.522312,0.52227134,0.52222997,0.5221863,0.52214134
10,Bahamas,0.8992991,0.89938194,0.8994551,0.8995048,0.89952683,0.8995271,0.8995142,0.89949286,0.8994669,0.8994362,0.8994048,0.89937454,0.89934444,0.899315,0.8992884,0.8992716,0.8992594,0.899247,0.8992373,0.89923215
11,Bahrain,0.7816434,0.78200394,0.7815467,0.78032494,0.7789562,0.7780097,0.7775874,0.7772759,0.776833,0.776385,0.77622914,0.7766089,0.7771692,0.7776296,0.7779736,0.7783771,0.7790424,0.7798653,0.780708,0.7814402
12,Bangladesh,0.39049977,0.39045388,0.39039838,0.39033476,0.39026403,0.39019197,0.39011565,0.39003676,0.38995683,0.38987705,0.3898037,0.38973215,0.3896642,0.38959998,0.38953933,0.38948515,0.3894343,0.38938674,0.3893429,0.38930303
13,Barbados,0.9330439,0.9330728,0.9331009,0.9331278,0.9331541,0.93318003,0.93320394,0.9332221,0.93323106,0.9332296,0.93322074,0.93320495,0.9331804,0.9331473,0.93310755,0.9330644,0.93301684,0.932965,0.93290925,0.93285364
14,Belarus,0.52120125,0.52119553,0.52119213,0.52119684,0.521201,0.5212048,0.5212112,0.52120125,0.52119315,0.52118677,0.5211785,0.52117485,0.5211533,0.5211224,0.5210886,0.52105135,0.5210136,0.5209698,0.52092916,0.5208894
15,Belgium,0.8976421,0.8979411,0.8986072,0.8994001,0.9000595,0.90034026,0.90035564,0.9003685,0.9003901,0.90040505,0.900408,0.90041107,0.9004145,0.90042275,0.90042245,0.900407,0.90038335,0.90036076,0.900339,0.9003138
16,Belize,0.9064745,0.9066096,0.9067296,0.9068306,0.90691334,0.90697885,0.9070286,0.9070678,0.90710217,0.9071343,0.9071678,0.90720516,0.9072427,0.9072783,0.9073128,0.90735114,0.90739334,0.90743446,0.9074714,0.9075041
17,Benin,0.5457382,0.5457337,0.5457286,0.5457216,0.5457153,0.54570764,0.54569715,0.5456864,0.5456751,0.545665,0.54565585,0.545644,0.54563284,0.54562217,0.54561186,0.5456036,0.5455946,0.54558605,0.54557824,0.5455701
18,Bhutan,0.3926265,0.39264888,0.3926621,0.3926649,0.39265648,0.3926477,0.39264864,0.39265683,0.392672,0.39268628,0.39269647,0.39269832,0.3926789,0.3926421,0.39259574,0.39254323,0.39248455,0.3924184,0.39234975,0.39228165
19,Bosnia and Herzegovina,0.5488881,0.5488198,0.5486871,0.5485468,0.5485055,0.5485401,0.54852843,0.54852134,0.54857594,0.5486406,0.5486953,0.54873204,0.54875153,0.5487742,0.5488094,0.54883975,0.54886746,0.5488927,0.54891616,0.5489406
20,Botswana,0.5409078,0.54090947,0.54091257,0.5409164,0.54092056,0.5409241,0.5409282,0.5409309,0.5409321,0.5409322,0.5409315,0.5409304,0.54092807,0.5409249,0.5409211,0.540917,0.5409125,0.5409075,0.5409025,0.5408974
21,Brazil,1.1125786,1.1125041,1.112434,1.1123736,1.1123247,1.112287,1.1122575,1.1122355,1.1122206,1.1122092,1.1121967,1.1121776,1.1121545,1.1121279,1.1120973,1.1120592,1.1120119,1.1119626,1.1119094,1.1118531
22,Bulgaria,0.46688792,0.46688393,0.46688393,0.4668839,0.46688256,0.46687672,0.46686152,0.46683532,0.4667915,0.46672866,0.46664944,0.46656716,0.46650818,0.4664714,0.4664501,0.4664348,0.46642253,0.4664138,0.4664062,0.46639755
23,Burkina Faso,0.5353452,0.5353465,0.5353467,0.5353474,0.5353484,0.5353491,0.5353513,0.53535193,0.5353523,0.53535235,0.53535175,0.53535205,0.5353514,0.53535044,0.5353493,0.53534794,0.535346,0.53534377,0.53534156,0.5353396
24,Burundi,0.5793269,0.5793359,0.5793431,0.57934815,0.57935405,0.5793619,0.57936925,0.5793727,0.5793722,0.5793776,0.57938945,0.579398,0.5794021,0.5794072,0.57941514,0.5794212,0.57942027,0.5794142,0.57940906,0.57940555
25,Cambodia,0.31857264,0.31853944,0.31850561,0.3184733,0.31843832,0.3184039,0.31836623,0.31832826,0.31829247,0.31825417,0.31821713,0.31817764,0.31814,0.31810558,0.31807196,0.31804135,0.31801122,0.31798354,0.31796005,0.3179395
26,Cameroon,0.5344756,0.5344759,0.5344763,0.5344765,0.5344767,0.5344764,0.53447527,0.53447354,0.5344712,0.53446895,0.53446627,0.53446305,0.5344593,0.5344554,0.5344518,0.5344484,0.534445,0.5344416,0.5344389,0.5344366
27,Canada,0.776287,0.7793279,0.7865573,0.79518497,0.80242294,0.80545604,0.80545866,0.80546325,0.80546105,0.80545366,0.80544114,0.80542004,0.805411,0.8053929,0.8053675,0.8053428,0.8053236,0.8052973,0.80527705,0.8052512
28,Central African Republic,0.529928,0.52993107,0.52993435,0.52993757,0.52994055,0.5299437,0.52994674,0.52994865,0.52994895,0.52994764,0.5299453,0.529944,0.52994657,0.5299517,0.52995324,0.5299499,0.52994525,0.5299407,0.529935,0.5299282
29,Chad,0.5377782,0.5377761,0.5377739,0.53777176,0.53776914,0.53776616,0.5377636,0.53776133,0.53775924,0.5377575,0.53775537,0.5377539,0.53775275,0.53775185,0.5377518,0.53775096,0.53775036,0.53774995,0.5377498,0.53775066
30,Chile,0.9419278,0.9474462,0.9606677,0.9764568,0.98969054,0.99524295,0.99525124,0.99526256,0.99526983,0.995278,0.9952873,0.9952963,0.9953042,0.99530786,0.99530977,0.9953073,0.9952928,0.99526083,0.9952146,0.99516386
31,China,0.18189086,0.18195102,0.18200307,0.18204872,0.18209198,0.18212192,0.18214044,0.1821458,0.18213318,0.18211211,0.18207341,0.18202502,0.1819709,0.18191536,0.18187091,0.1818321,0.18180573,0.18179232,0.18179221,0.18180743
32,Colombia,0.74157673,0.7415165,0.7414474,0.74136037,0.74125075,0.74113303,0.741006,0.74087876,0.7407571,0.74064904,0.74055934,0.74048644,0.74043095,0.7403921,0.7403615,0.740324,0.74018544,0.73997295,0.7398712,0.7398617
33,Comoros,0.6088514,0.6088405,0.6088311,0.60882163,0.60881233,0.60880363,0.6087946,0.60878664,0.60877824,0.6087704,0.6087631,0.60875565,0.6087488,0.6087417,0.60873485,0.6087286,0.6087228,0.6087175,0.60871285,0.6087087
34,Congo,0.54531753,0.54533464,0.54535115,0.54536515,0.5453781,0.5453898,0.5453992,0.5454059,0.5454092,0.54541016,0.54540926,0.54540586,0.5454003,0.54539293,0.5453847,0.5453757,0.5453658,0.5453552,0.5453446,0.545334
35,Costa Rica,0.87080675,0.87084454,0.87090325,0.87098306,0.87108314,0.87119985,0.87133193,0.87147623,0.87162566,0.87177396,0.8719207,0.87206006,0.8721827,0.8722916,0.8723873,0.8724728,0.8725493,0.87261367,0.8726645,0.8727019
36,Croatia,0.54559606,0.5455764,0.5455445,0.54550886,0.5454722,0.5454385,0.5454063,0.5453639,0.54532707,0.54529536,0.5452665,0.54523414,0.5451964,0.54516304,0.54512924,0.5451006,0.5450728,0.5450407,0.54501355,0.5449874
37,Cuba,0.9482677,0.9482369,0.948209,0.9481838,0.9481572,0.94812614,0.94809544,0.9480643,0.94803333,0.94800127,0.9479664,0.9479309,0.94789636,0.9478659,0.94783646,0.94780564,0.94777757,0.9477513,0.94772816,0.9477054
38,Cyprus,0.90670156,0.90690553,0.9073144,0.9078009,0.90824616,0.9085382,0.90872145,0.90891725,0.90911335,0.90930474,0.9094894,0.9096582,0.9098101,0.9099433,0.91005874,0.9101596,0.9102467,0.910318,0.9103745,0.91042036
39,Czechia,0.5478421,0.54779845,0.5477548,0.54771304,0.5476734,0.5476307,0.54758173,0.547534,0.5474897,0.5474497,0.5474121,0.54737437,0.54733896,0.54730624,0.54727674,0.54724824,0.547219,0.5471923,0.547169,0.5471487
40,Denmark,0.94970584,0.9488186,0.9466329,0.94398886,0.9417859,0.9408774,0.9409052,0.94094557,0.9409634,0.9409952,0.94102407,0.94102347,0.9410103,0.9409443,0.94085705,0.94074917,0.9406229,0.9405177,0.9403994,0.940294
41,Djibouti,0.60730237,0.60730714,0.6073121,0.6073247,0.6073436,0.60736436,0.6073755,0.60738015,0.60737944,0.6073748,0.6073676,0.60736156,0.6073551,0.6073475,0.6073393,0.6073283,0.60731864,0.6073101,0.60730255,0.60729665
42,Dominican Republic,0.91196775,0.91170895,0.91146404,0.9112441,0.91105604,0.9108955,0.91075695,0.91063756,0.9105338,0.91044784,0.91037506,0.910312,0.9102588,0.91021657,0.910187,0.9101655,0.9101483,0.9101331,0.91011876,0.910109
43,Ecuador,0.9085022,0.9084988,0.9084932,0.9084834,0.90846807,0.90845037,0.90842664,0.9083995,0.90837544,0.9083473,0.90831316,0.9082741,0.9082297,0.90818286,0.9081343,0.9080816,0.90796834,0.9078061,0.9077029,0.90764993
44,Egypt,0.72465265,0.72467464,0.7246954,0.72471553,0.7247318,0.72474134,0.7247428,0.72473574,0.7247181,0.72468776,0.72464406,0.7245893,0.7245236,0.72444606,0.72436,0.72426695,0.7241717,0.724079,0.72399354,0.72391546
45,El Salvador,0.8258825,0.82603735,0.8261616,0.82626486,0.82636064,0.82644325,0.826508,0.8265507,0.8265662,0.8265618,0.8265345,0.82648605,0.8264442,0.8264087,0.8263724,0.8263401,0.82627296,0.8261647,0.82604295,0.8259098
46,Equatorial Guinea,0.5533338,0.5533267,0.55331993,0.5533137,0.55330807,0.5533033,0.5532981,0.5532941,0.55329156,0.5532907,0.5532916,0.5532922,0.55329454,0.5532984,0.55330384,0.5533111,0.55331886,0.5533284,0.55333936,0.55335176
47,Eritrea,0.58416307,0.58415776,0.5841514,0.58414525,0.5841397,0.58413374,0.58412784,0.58412194,0.58411616,0.58411074,0.5841046,0.58409834,0.58409214,0.584086,0.58408,0.5840735,0.5840667,0.58405995,0.58405334,0.584047
48,Estonia,0.52398723,0.5238947,0.5238303,0.5237933,0.52376205,0.5237266,0.52368826,0.5236415,0.5235935,0.523532,0.5234608,0.52339095,0.5233144,0.5232407,0.52316594,0.52308995,0.523013,0.52293026,0.5228586,0.5227906
49,Eswatini,0.5345801,0.5345941,0.53460866,0.53462267,0.5346363,0.5346485,0.53465796,0.534666,0.5346731,0.5346793,0.53468394,0.5346864,0.5346872,0.5346864,0.53468364,0.53467923,0.53467375,0.53466743,0.5346607,0.5346536
50,Ethiopia,0.61443657,0.6144477,0.6144573,0.6144658,0.61447155,0.61447346,0.6144762,0.6144763,0.61447364,0.61446786,0.61445826,0.6144506,0.6144415,0.61443156,0.61442125,0.6144103,0.61440104,0.6143923,0.6143842,0.6143768
51,Fiji,0.2747353,0.27471983,0.2747075,0.2746998,0.27469483,0.27468702,0.27468732,0.27468842,0.2746926,0.27469674,0.27469185,0.27469158,0.27468958,0.27468547,0.27467832,0.27466592,0.27465725,0.2746492,0.2746417,0.27463502
52,Finland,0.9055299,0.90401727,0.90050334,0.8963184,0.8928077,0.8912972,0.8912349,0.8911828,0.89112675,0.89106536,0.89099324,0.8909164,0.8908519,0.8907805,0.89069825,0.89060366,0.890508,0.8904328,0.89036083,0.89028394
53,France,0.9027399,0.9029132,0.9032428,0.90361893,0.9039309,0.90407205,0.90408874,0.9040955,0.9040959,0.9040936,0.9040912,0.90409017,0.9040932,0.90410143,0.90411925,0.90414417,0.9041612,0.9041692,0.90416944,0.90416586
