,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,5.0084476,5.003872,4.994327,4.981723,4.9731607,4.9658794,4.9628406,4.9597197,4.9531674,4.9492145,4.946899,4.945379,4.9445314,4.9443674,4.944629,4.9447594,4.9370723,4.9309354,4.9361405,4.945168
1,Albania,2.4477215,2.4539328,2.4615242,2.4676032,2.472387,2.4724932,2.4696515,2.462645,2.4544492,2.4469564,2.4427185,2.4411948,2.4407077,2.4414198,2.4422417,2.4422338,2.4416053,2.4435818,2.4494264,2.4602032
2,Algeria,4.1684895,4.1616554,4.1525335,4.143779,4.1328897,4.1215196,4.109745,4.091323,4.07103,4.0561075,4.0496836,4.0510716,4.057316,4.0664153,4.0753493,4.076484,4.070487,4.0646133,4.085298,4.1296806
3,Angola,5.9062595,5.896979,5.88018,5.8635,5.846628,5.831,5.816383,5.7983756,5.7775226,5.7608,5.751106,5.749007,5.746097,5.744433,5.745395,5.747701,5.7518706,5.7563667,5.7532606,5.744194
4,Antigua and Barbuda,2.9521475,2.9559095,2.958693,2.9599168,2.9589083,2.9530318,2.9379826,2.9109464,2.8816068,2.8565242,2.8437574,2.8496175,2.865438,2.884057,2.9019647,2.911677,2.9112446,2.9141414,2.9518666,3.0286796
5,Argentina,2.6201203,2.622092,2.625571,2.6273024,2.6299446,2.628982,2.6047487,2.551156,2.487661,2.4350693,2.413849,2.4141257,2.4159815,2.4191957,2.4207559,2.423345,2.4216962,2.4182243,2.4153662,2.4075098
6,Armenia,2.835005,2.8439517,2.8545542,2.865396,2.874829,2.882964,2.887293,2.888605,2.8922358,2.8927338,2.8962152,2.9046485,2.9182613,2.934571,2.9476657,2.9542494,2.955971,2.955092,2.9651482,2.9836516
7,Australia,4.5388155,4.58546,4.65675,4.7298746,4.790833,4.817139,4.8088183,4.786712,4.7543907,4.7198935,4.6904297,4.661994,4.630723,4.5981283,4.5648894,4.5340767,4.4401946,4.360807,4.3602886,4.382458
8,Austria,3.3730147,3.3421907,3.3078835,3.276092,3.2449448,3.2177966,3.1890857,3.156537,3.1266348,3.103492,3.0920737,3.0925705,3.0992143,3.1081657,3.1144185,3.117166,3.117207,3.1176713,3.120435,3.125201
9,Azerbaijan,2.6805768,2.684274,2.6902637,2.698078,2.7050302,2.707477,2.7027826,2.6922903,2.68203,2.6717098,2.6676052,2.673532,2.6851199,2.698177,2.7101033,2.7152565,2.7135832,2.712658,2.725434,2.7526314
10,Bahamas,3.01233,3.01119,3.0096636,3.006027,3.0031192,2.9967117,2.9853737,2.96661,2.945456,2.9285867,2.9222538,2.9251416,2.9385166,2.9538794,2.9677157,2.9759114,2.9748387,2.9746866,3.003466,3.0623364
11,Bahrain,5.133777,5.120542,5.0884776,5.0415335,4.9899693,4.9383535,4.882926,4.8181825,4.751807,4.6901183,4.6435504,4.6143723,4.5911293,4.570381,4.5524645,4.537678,4.5223923,4.514126,4.5198207,4.528089
12,Bangladesh,4.600333,4.591876,4.587098,4.583527,4.582121,4.5788054,4.5734878,4.5695686,4.5647535,4.5645857,4.5671453,4.5729795,4.5809336,4.586038,4.5936613,4.599187,4.6036625,4.603344,4.6107364,4.6198096
13,Barbados,3.0590594,3.0633073,3.0708885,3.0787032,3.0846188,3.0873919,3.0834692,3.0772126,3.0684435,3.061772,3.0582738,3.0634255,3.07421,3.088505,3.0996187,3.1069825,3.107959,3.1063004,3.1284237,3.1782775
14,Belarus,4.0918536,4.0966105,4.1028614,4.103709,4.104315,4.0988197,4.078114,4.041458,3.99703,3.9585407,3.9347,3.922725,3.9135807,3.904299,3.8970487,3.8928351,3.8953917,3.8943806,3.870581,3.824539
15,Belgium,3.2607071,3.2790265,3.2974474,3.3176517,3.3399146,3.3646905,3.410445,3.481453,3.5586586,3.6206415,3.6478279,3.6392345,3.618253,3.5918112,3.5673435,3.5513406,3.544319,3.539347,3.539191,3.5420222
16,Belize,3.2808805,3.2923179,3.305037,3.3171206,3.3239787,3.3272493,3.32028,3.3007448,3.2792752,3.2596323,3.2508574,3.2525077,3.2565932,3.2645996,3.2710667,3.27551,3.2828174,3.2899313,3.2992108,3.3090649
17,Benin,4.4090924,4.418103,4.427299,4.43434,4.439211,4.4424953,4.4427924,4.4421372,4.4383636,4.435647,4.4345374,4.43529,4.43501,4.4379196,4.4378552,4.4371924,4.4374766,4.4370155,4.4402885,4.447893
18,Bhutan,4.1190867,4.1049557,4.0873704,4.0695133,4.050441,4.0357957,4.015909,3.9938788,3.9686291,3.950277,3.9408958,3.9415631,3.948697,3.9583006,3.9665086,3.9704382,3.965354,3.961275,3.9831972,4.024815
