,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,0.41165414,0.41619974,0.42787027,0.44258213,0.4579653,0.47156572,0.48342803,0.4973611,0.50896424,0.52016103,0.5269317,0.53125894,0.53467613,0.53790295,0.54133606,0.54609615,0.56028926,0.57161784,0.5512735,0.5016228
1,Albania,0.42946383,0.43059292,0.43053493,0.43094233,0.4313205,0.43326864,0.43509138,0.4373489,0.43947685,0.44146135,0.4433889,0.4461315,0.4485997,0.45033604,0.45229954,0.45361632,0.45526975,0.4562656,0.457729,0.45906317
2,Algeria,0.36890242,0.37356535,0.37911367,0.3840204,0.39037734,0.39594802,0.40184864,0.40851197,0.4152953,0.42189884,0.42807078,0.43478256,0.44185466,0.4489532,0.45463783,0.4581617,0.46010762,0.46143875,0.46104327,0.46045884
3,Angola,0.35759214,0.3571429,0.35571682,0.35358295,0.35148615,0.34957716,0.34827211,0.34764373,0.34670174,0.3461332,0.34603083,0.34530216,0.34640658,0.346887,0.34680924,0.34726486,0.3488477,0.35089,0.3514158,0.35183445
4,Antigua and Barbuda,0.79153156,0.7917851,0.79265124,0.7931376,0.79419976,0.79476136,0.79473853,0.7948358,0.793675,0.79390717,0.79359305,0.79371804,0.7936412,0.7945714,0.79466397,0.7950589,0.7938888,0.79425055,0.7953509,0.7961891
5,Argentina,0.63760525,0.63983124,0.6443746,0.6511019,0.65817255,0.66489613,0.67277783,0.68071395,0.6884378,0.6945599,0.69780576,0.698644,0.6981154,0.69751376,0.6964522,0.6952997,0.69141644,0.68844455,0.6897728,0.6907437
6,Armenia,0.47453207,0.4753599,0.47791576,0.48043972,0.4820996,0.48458755,0.48618525,0.48817307,0.48923215,0.49103892,0.49354377,0.4954239,0.49804753,0.500642,0.5033817,0.50576025,0.51186806,0.5172653,0.5186575,0.5179576
7,Australia,2.1597087,2.149792,2.1390674,2.127977,2.121128,2.1183321,2.1250904,2.1358392,2.1496694,2.1620252,2.1715448,2.171917,2.1611247,2.1455047,2.1305516,2.1207354,2.1425743,2.173389,2.1828098,2.1747837
8,Austria,0.9477654,0.97117317,1.0064371,1.0439155,1.0740526,1.0876298,1.0835345,1.0731432,1.0602314,1.0488884,1.0443871,1.049894,1.062063,1.0767798,1.0907961,1.1008875,1.1017962,1.096525,1.0841048,1.060424
9,Azerbaijan,0.41974333,0.42016372,0.42014545,0.4209727,0.42217273,0.42282772,0.4247654,0.42653304,0.4291366,0.43130833,0.43322203,0.43408713,0.4355524,0.4367266,0.43858835,0.43930224,0.4429255,0.4462107,0.44718507,0.446128
10,Bahamas,0.9701948,0.97065175,0.97154504,0.9723856,0.97285485,0.9723918,0.9729073,0.9720191,0.97124743,0.970502,0.96897525,0.9678888,0.9654119,0.9627912,0.961347,0.96003217,0.9627203,0.9641571,0.9526086,0.92722636
11,Bahrain,0.40575904,0.40440097,0.4027733,0.4016934,0.40027916,0.39840648,0.39747784,0.39866853,0.39936963,0.40082017,0.40101457,0.4005067,0.39894417,0.39767694,0.39746067,0.3983462,0.40501687,0.41197667,0.4128682,0.4131877
12,Bangladesh,0.30365202,0.30630746,0.3085647,0.31213537,0.3155107,0.3189121,0.32298622,0.327181,0.33204952,0.33599156,0.3394997,0.3431386,0.34699246,0.35049808,0.3532011,0.35551986,0.35787854,0.35878736,0.35891324,0.359953
13,Barbados,1.1273854,1.1264583,1.1246604,1.1231024,1.1215824,1.1197473,1.1192579,1.1190156,1.1174909,1.1153821,1.113377,1.1098336,1.1046062,1.0986134,1.0935518,1.091845,1.0966485,1.1020449,1.0881319,1.0543708
14,Belarus,0.9016484,0.9020845,0.90230566,0.90245855,0.9018838,0.90183735,0.89899415,0.895594,0.8915784,0.88583714,0.8826904,0.8786449,0.8723387,0.8678269,0.86382926,0.85969514,0.8591305,0.8572292,0.8543521,0.8521594
15,Belgium,1.0138042,1.0186882,1.0257536,1.0329117,1.0396588,1.0456146,1.0488333,1.0483357,1.0478184,1.0469468,1.04814,1.0526367,1.0567191,1.0620646,1.0668983,1.0723823,1.0806278,1.0882168,1.0818802,1.0637823
16,Belize,0.91006315,0.9101695,0.91030854,0.91111386,0.9110677,0.91161156,0.91114,0.911087,0.9088587,0.90848464,0.9077629,0.9072802,0.906959,0.90631014,0.90526426,0.904592,0.9056193,0.906227,0.88653535,0.8426973
17,Benin,0.30436492,0.30704185,0.31101716,0.31572276,0.31949177,0.32245514,0.32460275,0.3261301,0.32795426,0.33051798,0.3316523,0.33313316,0.3347271,0.3365869,0.33858243,0.33943343,0.34058544,0.3417895,0.34284526,0.34373558
18,Bhutan,0.33067387,0.3314114,0.3330122,0.3344096,0.33615744,0.3379513,0.34066358,0.34442592,0.3482395,0.35203168,0.35429388,0.3562842,0.35734802,0.3588953,0.3609503,0.36267713,0.3661742,0.36953652,0.36991832,0.36938906
