,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,0.094875544,0.09454673,0.094810046,0.09498258,0.09553074,0.095989875,0.09687539,0.09869647,0.100904115,0.10303232,0.10496491,0.10716891,0.10907154,0.11139343,0.11349482,0.115101844,0.11661651,0.117123686,0.11767916,0.11741397
1,Albania,0.102659166,0.10415318,0.10573936,0.10845551,0.11036978,0.112578206,0.114303075,0.116639026,0.11902477,0.120946944,0.12297751,0.12472778,0.12626737,0.12809083,0.12968342,0.13121219,0.1328488,0.13404264,0.1354806,0.1366484
2,Algeria,0.18414956,0.18458423,0.18622924,0.18858892,0.19063355,0.19274992,0.1939993,0.19599892,0.19781177,0.19868977,0.20054184,0.20148145,0.20281051,0.2036107,0.20495312,0.20633116,0.20858222,0.2105309,0.21078427,0.2106033
3,Angola,0.10227342,0.10260164,0.10345401,0.10473168,0.10596368,0.10735445,0.10988826,0.11290645,0.116300575,0.11965034,0.1228536,0.12578924,0.12867904,0.13132364,0.13357167,0.13496505,0.1359111,0.13628906,0.1363325,0.13675597
4,Antigua and Barbuda,0.2531747,0.25433177,0.2550025,0.2560033,0.25682753,0.25862804,0.260439,0.2637262,0.26699823,0.26924637,0.27043265,0.26995358,0.26861185,0.26759952,0.26629594,0.26545572,0.26714227,0.2689388,0.2701906,0.27095023
5,Argentina,0.30726418,0.30651045,0.304961,0.30294257,0.30199617,0.30167902,0.30288535,0.30518323,0.3085439,0.3120873,0.31553122,0.3182385,0.3215158,0.3248527,0.3277988,0.33002284,0.3320769,0.33308828,0.33305338,0.33220056
6,Armenia,0.08869689,0.08976673,0.09152715,0.0941299,0.097373344,0.10007412,0.10272496,0.10562233,0.108818464,0.111614145,0.11388937,0.11584397,0.11758394,0.11913426,0.120462425,0.1219621,0.123195335,0.12421232,0.12523004,0.12600231
7,Australia,0.7977668,0.81825,0.8532527,0.8928704,0.92793965,0.95042175,0.96111417,0.96978116,0.97864956,0.98612726,0.9927631,0.99799436,1.0032136,1.0073591,1.0123483,1.0158271,1.0205263,1.0254059,1.0284127,1.0316882
8,Austria,0.4785858,0.48539114,0.49294817,0.5005945,0.5077192,0.51429474,0.5215775,0.53044736,0.53840405,0.5459628,0.5513747,0.5550273,0.5582181,0.56103206,0.56289047,0.5627958,0.55981344,0.55712646,0.55835485,0.5622296
9,Azerbaijan,0.0937403,0.09426683,0.09534902,0.09680298,0.09907625,0.10138343,0.10467446,0.11045998,0.116776556,0.12276372,0.12757897,0.13130763,0.13466679,0.13739607,0.1402617,0.14168632,0.14240858,0.14302622,0.14339092,0.1438001
10,Bahamas,0.29065916,0.29243222,0.29477805,0.29744858,0.29984453,0.30102715,0.30120054,0.30032957,0.29998776,0.29957777,0.29874343,0.29770276,0.2965767,0.29518303,0.29389125,0.29319462,0.29298857,0.29266343,0.29225552,0.2916803
11,Bahrain,0.27171385,0.27314183,0.27362135,0.27307868,0.27250144,0.2726117,0.2724273,0.27230522,0.2724272,0.27189925,0.2723026,0.27338436,0.27505082,0.27717188,0.27849597,0.2798101,0.28314427,0.2866591,0.28855082,0.2906812
12,Bangladesh,0.08754282,0.08790324,0.08839798,0.089234516,0.08982094,0.09078565,0.09170364,0.09299192,0.09467496,0.09659138,0.09818385,0.099781685,0.10143996,0.10303102,0.10504848,0.10699789,0.10977636,0.11230933,0.11393922,0.11529979
13,Barbados,0.23685065,0.23782477,0.23888814,0.23923889,0.24005233,0.24083912,0.24059445,0.24178429,0.24300796,0.24387051,0.24402189,0.24327579,0.24255738,0.24130777,0.23999925,0.23968711,0.2400768,0.24045461,0.24041596,0.24008909
14,Belarus,0.09925465,0.09989438,0.10093053,0.102895,0.10501632,0.106956296,0.109090164,0.11159432,0.11437235,0.11702942,0.11944295,0.12181314,0.12428703,0.12694465,0.12941444,0.13096942,0.1318798,0.13296206,0.13347198,0.1341819
15,Belgium,0.38939744,0.39241803,0.39610875,0.39989844,0.40409118,0.4071641,0.40980622,0.4125902,0.4146189,0.4175397,0.41880637,0.42080608,0.42342037,0.42555627,0.42841125,0.42961353,0.43202114,0.4347083,0.43582416,0.4368189
16,Belize,0.1803979,0.18160458,0.18282244,0.18427733,0.1857864,0.18675879,0.18784592,0.18856019,0.18963407,0.19042706,0.19101214,0.19155549,0.19178745,0.19210711,0.19251975,0.19304523,0.19491607,0.19614568,0.19646068,0.19617337
17,Benin,0.09007184,0.09053184,0.09104934,0.09185245,0.092556685,0.09294874,0.093085036,0.09363422,0.09371502,0.09375671,0.093836434,0.09417102,0.094606265,0.09512884,0.095923245,0.09622692,0.097474195,0.09808585,0.09880143,0.099465676
18,Bhutan,0.10687629,0.10848527,0.11016786,0.11203634,0.114000805,0.11617297,0.11753482,0.11930709,0.121561505,0.123627655,0.12552947,0.12695935,0.12892511,0.13108541,0.13292146,0.13500409,0.13746318,0.13964275,0.14166836,0.14370656
19,Bosnia and Herzegovina,0.102155395,0.10492672,0.10730806,0.109944664,0.11248996,0.11473879,0.11690388,0.118606076,0.12071633,0.12245999,0.12401544,0.1252981,0.12673295,0.12795201,0.12942567,0.13051607,0.13214958,0.13389814,0.13516961,0.13697994
20,Botswana,0.15147452,0.1526534,0.15368508,0.15488394,0.15588827,0.15702304,0.15800992,0.15935537,0.16082853,0.16182953,0.16322936,0.16448493,0.16716667,0.16899636,0.17059982,0.17265435,0.1747806,0.1759335,0.17716262,0.17784883
21,Brazil,0.20538843,0.20594922,0.20679027,0.2076286,0.20859815,0.20954143,0.2111178,0.21300578,0.21547474,0.21788125,0.22006725,0.22251388,0.22528383,0.22806862,0.23033057,0.23156287,0.23157497,0.23137626,0.2317659,0.23241083
22,Bulgaria,0.12393356,0.12419747,0.12528187,0.12663952,0.1285364,0.13026929,0.13197805,0.13434958,0.13691838,0.13938528,0.14163193,0.14322583,0.14473699,0.14672525,0.14818966,0.1496691,0.15158065,0.15356614,0.15530983,0.15696159
23,Burkina Faso,0.07888624,0.07941844,0.0801844,0.08075266,0.08130828,0.082181096,0.082645185,0.08324229,0.08401907,0.084625706,0.08492198,0.08571452,0.0868641,0.08743098,0.08816015,0.08918113,0.09033969,0.0913809,0.092091985,0.092556745
24,Burundi,0.07155359,0.0709524,0.07055023,0.07002098,0.0697589,0.06936297,0.06927907,0.06929167,0.06909897,0.06914013,0.06918158,0.069363326,0.06974592,0.07068003,0.07094682,0.071419746,0.0716356,0.07167876,0.07155357,0.071074806
25,Cambodia,0.06146744,0.06189027,0.062565215,0.06374645,0.064917386,0.066129826,0.06707612,0.06867443,0.07009853,0.0713225,0.072473384,0.073688425,0.07478409,0.076260164,0.07739578,0.078898154,0.07996954,0.0817195,0.08276531,0.08394735
26,Cameroon,0.101992704,0.102391556,0.10296137,0.10372772,0.10408546,0.104687944,0.1048038,0.10482302,0.10505517,0.10490823,0.10541422,0.10564394,0.10616123,0.10667735,0.10791998,0.10874959,0.10938865,0.11081621,0.11125524,0.11202099
27,Canada,0.40892968,0.41027126,0.41235426,0.41470206,0.41705838,0.41833037,0.41950834,0.42062035,0.42179033,0.42244872,0.42279756,0.4237151,0.4240799,0.4244085,0.42516187,0.42588902,0.42759335,0.42864105,0.42866212,0.4285759
28,Central African Republic,0.07686433,0.07666351,0.07628129,0.07623667,0.07618329,0.07588284,0.07569113,0.07565627,0.07583336,0.075773105,0.07564132,0.07536266,0.074880645,0.074559644,0.073977076,0.07376093,0.072932385,0.072328925,0.07213631,0.07151896
29,Chad,0.08051217,0.08068806,0.081379496,0.082390934,0.08373678,0.085175104,0.08621973,0.08722633,0.08840244,0.089881234,0.090967014,0.09241714,0.09349808,0.094820574,0.09585466,0.097140834,0.09789515,0.09852846,0.09864158,0.09834646
30,Chile,0.30141717,0.30305284,0.30553615,0.30767432,0.30972603,0.31210187,0.314539,0.3172358,0.320966,0.32451034,0.32794178,0.33186218,0.33612752,0.34066772,0.3447797,0.34853357,0.35351944,0.35693613,0.35781848,0.35876754
31,China,0.07157985,0.07275263,0.07414101,0.07565596,0.07725651,0.07903266,0.080781,0.082856014,0.08495704,0.08724487,0.089560464,0.091838524,0.094158985,0.09661374,0.09926376,0.10212784,0.10640783,0.10991693,0.11168088,0.11261842
32,Colombia,0.18794987,0.1878509,0.1883219,0.18847127,0.1887106,0.18892615,0.19006954,0.19158794,0.19414087,0.19673105,0.19889013,0.20143916,0.20400381,0.2060835,0.20892034,0.21147159,0.21546629,0.2180702,0.2196955,0.22084343
