,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,0.21451464,0.21431455,0.21418841,0.21409267,0.21406065,0.21409708,0.214259,0.21459809,0.21502665,0.21545461,0.21580303,0.21621755,0.21681084,0.21744443,0.21797295,0.21826534,0.21824437,0.2181385,0.21801554,0.21777739
1,Albania,0.2817278,0.28181994,0.2818834,0.28195274,0.28206202,0.28224605,0.28265357,0.2833063,0.28405136,0.28473735,0.2852128,0.2855792,0.2859981,0.28640693,0.2867512,0.28698045,0.28713554,0.28724706,0.2873577,0.2875006
2,Algeria,0.24900313,0.24907558,0.2491941,0.24931832,0.24941187,0.24943493,0.24929836,0.24900906,0.24866968,0.24838494,0.24825676,0.24835047,0.24859886,0.24890499,0.24917315,0.24930608,0.24908555,0.24883752,0.24890043,0.24913542
3,Angola,0.21145953,0.21163055,0.21207045,0.21263494,0.21317904,0.21356112,0.21395102,0.21454033,0.21521842,0.21587281,0.21639037,0.21688086,0.21747366,0.2180834,0.21862446,0.21901187,0.21953787,0.21996135,0.21998268,0.21982822
4,Antigua and Barbuda,0.28619626,0.2862459,0.28629148,0.28634012,0.28639925,0.28647685,0.28668508,0.28705353,0.28746843,0.28781852,0.28798887,0.28793153,0.28773615,0.28749523,0.28730252,0.2872532,0.28806996,0.2889516,0.28899482,0.28866282
5,Argentina,0.31105858,0.31093073,0.3106408,0.3103072,0.3100471,0.30997583,0.3102805,0.31092358,0.31168434,0.3123423,0.3126768,0.3126622,0.31248406,0.31224054,0.3120302,0.31195283,0.31233308,0.3126788,0.31235448,0.31154236
6,Armenia,0.27405238,0.27435598,0.27507526,0.2759816,0.27684993,0.2774539,0.27789685,0.27839205,0.278878,0.27929643,0.27958736,0.27981967,0.28008592,0.28036392,0.28063414,0.28087538,0.28138685,0.28190556,0.28223595,0.28262022
7,Australia,0.38845477,0.38848075,0.38853607,0.3885987,0.38864714,0.38867068,0.38865405,0.38860998,0.38855332,0.38850445,0.3884942,0.3885109,0.38853163,0.38855278,0.38856968,0.38857755,0.38852572,0.38846922,0.3885178,0.38864592
8,Austria,0.27531537,0.2753292,0.27537015,0.2754227,0.2754722,0.27549613,0.27552652,0.27558753,0.27565533,0.275704,0.27570397,0.27560493,0.27541992,0.2752243,0.27508944,0.2750848,0.2759378,0.27685928,0.27697057,0.2767454
9,Azerbaijan,0.27006206,0.27024662,0.2707266,0.27138633,0.27210447,0.2727643,0.27365234,0.27495116,0.27639756,0.27772176,0.2786576,0.27937487,0.28016007,0.2809266,0.2815861,0.28205308,0.28228012,0.28239095,0.2825349,0.2827107
10,Bahamas,0.2851404,0.285387,0.28574365,0.28611943,0.28642184,0.28655654,0.28645945,0.28619525,0.28586257,0.2855605,0.2853874,0.28528807,0.28515273,0.2849995,0.2848462,0.28470966,0.28430152,0.28395364,0.28417668,0.284808
11,Bahrain,0.27150548,0.27146372,0.2713362,0.2712212,0.2711692,0.27122205,0.27131918,0.27138376,0.2714454,0.2715161,0.27158913,0.27152345,0.2712829,0.27098894,0.27074158,0.2706146,0.27056554,0.27052993,0.27063945,0.270948
12,Bangladesh,0.2796692,0.27944887,0.27916503,0.27886048,0.2785754,0.27835163,0.27818486,0.27803662,0.27789348,0.2777431,0.27757654,0.27733892,0.2770295,0.27670416,0.2764175,0.27623016,0.27625334,0.27631047,0.27625948,0.27618748
13,Barbados,0.2823287,0.28245288,0.2826855,0.2829502,0.28317046,0.28326964,0.28320125,0.28301814,0.2827924,0.2825953,0.28249732,0.28249285,0.28251472,0.28254357,0.2825602,0.28254515,0.2822401,0.28195485,0.2821136,0.28256494
14,Belarus,0.26989874,0.2699878,0.27018493,0.2704434,0.27071837,0.27096403,0.27131802,0.27187905,0.27253366,0.27317077,0.27368024,0.2742778,0.27513674,0.27607197,0.2768987,0.2774349,0.27772522,0.27784362,0.2777031,0.27732414
